Centre,Role,Name,District,
"Govt. South HSS, Cherthala, Alleppey",ATP,Alapuzha ATP 1,Alapuzha,
"Govt. South HSS, Cherthala, Alleppey",ATP,Alapuzha ATP 2,Alapuzha,
"Govt. South HSS, Cherthala, Alleppey",ATP,Alapuzha ATP 3,Alapuzha,
"SDV HSS, Alapuzha Town",ATP,Alapuzha ATP 4,Alapuzha,
"Govt GHSS, Amabalapuzha",MFA,Alapuzha MFA 1,Alapuzha,
"Jama Ath HSS , PERUMBAVOUR",SP,Ernakulam SP 1,Ernakulam,
"Jama Ath HSS , PERUMBAVOUR",ATP,Ernakulam ATP 1,Ernakulam,
"Govt Polytechnique College, Kothamangalam",ATP,Ernakulam ATP 2,Ernakulam,
Muvattupuzha,MFA,Ernakulam MFA 1,Ernakulam,
North Paravoor,MFA,Ernakulam MFA 2,Ernakulam,
"Government Higher Secondary School, Rajakad",ATP,Idukki ATP 1,Idukki,
"Government Vocational Higher Secondary School,Kumily",ATP,Idukki ATP 2,Idukki,
"Government Vocational Higher Secondary School,Kumily",ATP,Idukki ATP 3,Idukki,
"Government Vocational Higher Secondary School,Kumily",MFA,Idukki MFA 1,Idukki,
GHSS Rajakkad,MFA,Idukki MFA 2,Idukki,
"Mg College, Bus Stand Complex, Iritty",ATP,Kannur ATP 1,Kannur,
"Mg College, Bus Stand Complex, Iritty",ATP,Kannur ATP 2,Kannur,
"Al maquar english school, Badariya nagar, Taliparamba",ATP,Kannur ATP 3,Kannur,
"Al maquar english school, Badariya nagar, Taliparamba",ATP,Kannur ATP 4,Kannur,
"Al maquar english school, Badariya nagar, Taliparamba",ATP,Kannur ATP 5,Kannur,
"C-Tac College Of Advanced Studies, City Tower,Mukund Junction, Thalassery",MFA,Kannur MFA 1,Kannur,
Cycore IT Academy,SP,Kannur SP 1,Kannur,
Cycore IT Academy,SP,Kannur SP 2,Kannur,
"Airborne Academy, opp. Police station, Payyannur",SP,Kannur SP 3,Kannur,
"Sacred Heart Girls Higher Secondary School, Thalassery",MFA,Kannur MFA 2,Kannur,
GHSS Mathil,MFA,Kannur MFA 3,Kannur,
Ghss Sreekandapuram,MFA,Kannur MFA 4,Kannur,
Nehru Arts And Science College,ATP,Kasargode ATP 1,Kasargode,
Nehru Arts And Science College,ATP,Kasargode ATP 2,Kasargode,
